id,name,price,quantity,required_qualification
80fd7bb5-1d6b-446e-a047-7b96004a072e,Fantastic Metal Shirt,475.00,111,B
a24984cb-e42f-49a4-9ee4-508dc5466f5f,Generic Rubber Fish,888.00,89,C
e158d16a-c95c-48a0-ad25-de6801979d7b,Recycled Plastic Chips,511.00,6,A
fcda0a56-93b2-4ecc-a09b-876caf185d35,Recycled Plastic Table,908.00,49,C
143c01bd-d96d-4b42-9033-c1b427cbba2d,Elegant Plastic Chips,659.00,69,B
b1409295-bbc8-4b79-b662-6850d943938e,Rustic Frozen Hat,128.00,20,B
d1fbe672-cc6b-416a-bcb8-3bca8c0ec6ab,Tasty Concrete Chair,106.00,8,A
2b97109b-de37-40e0-806d-e854559de77c,Recycled Soft Computer,850.00,51,A
a3328ad0-acab-4e08-87eb-147d9ed55adb,Modern Granite Soap,412.00,96,A
dbe46a8d-fd6e-4eaf-bd7b-fd8582261541,Practical Rubber Tuna,329.00,5,B
0dba53b8-6f9b-4bdc-aae0-14520bb23aea,Incredible Metal Soap,877.00,7,A
e6f3bae3-82fc-4e7e-b370-c72050821590,Unbranded Frozen Table,137.00,99,C
0e14b1b0-afee-4cf3-a19e-d3a078e970d0,Handcrafted Bronze Soap,772.00,78,C
fa713209-0b5e-4abb-8843-36e2ef9871b4,Handcrafted Frozen Soap,567.00,92,A
e18da9e1-1dd0-4139-b7ff-0b460dd60b34,Unbranded Fresh Table,496.00,52,A
2164a40d-a619-4344-a0dd-6baf9459d672,Modern Granite Computer,996.00,106,A
bd08c013-5298-48e3-a93d-3a7752ac058a,Handcrafted Granite Fish,604.00,18,A
b3047b56-ea80-4f73-8e9c-cb21e1a5d506,Sleek Fresh Soap,347.00,65,C
a314dd3c-b28c-4a90-b674-342b5024e217,Practical Fresh Sausages,591.00,84,C
bac2ace7-4029-43c3-84e2-f1ef1905e72b,Gorgeous Plastic Table,607.00,55,C
f7d9cbf9-a236-40ad-a3eb-28a822b2b430,Elegant Fresh Chips,322.00,7,A
f0ea0301-37f1-4877-b322-d578245c4488,Handcrafted Bronze Computer,341.00,94,A
26f6aa9e-bb2a-49db-b6c7-14c39eafc0aa,Licensed Plastic Fish,146.00,56,C
4413908a-20e5-4c92-8429-954240a7c7a0,Rustic Frozen Bacon,416.00,45,A
83376b56-c4c7-4d41-8b98-64ce320cd8d6,Bespoke Plastic Mouse,979.00,66,C
b719f563-83ed-4aac-be6b-c5b4bd3d6718,Handmade Plastic Bacon,911.00,77,C
3cb706c2-7e54-4f76-a461-b8f6fe219d11,Practical Plastic Hat,431.00,112,B
7e3706df-af1f-47f8-8a46-da964e4b278f,Refined Wooden Fish,425.00,54,A
9b2368cf-da5a-4062-b7f8-2f0c3aab7732,Elegant Soft Shirt,213.00,22,B
baa56fad-6a03-4d6c-9793-04b2caf056b4,Generic Bronze Pizza,889.00,2,C
59b7d15a-038c-4806-a0f4-b45ef6717a2b,Gorgeous Frozen Pants,684.00,112,A
c5917d5d-cd2a-4a71-bad4-4f46708a3cae,Small Steel Tuna,206.00,6,A
cc25a67c-bbe8-4537-98c4-3ddae6566a0c,Sleek Plastic Bike,176.00,97,B
77d286b0-3c89-416e-9fe0-c40dd5733e04,Refined Wooden Tuna,583.00,1,A
5d9e5d97-dfbd-43cc-b018-ed3109cddb88,Modern Rubber Shirt,398.00,16,A
e2397869-52cc-41bb-bfc4-98becee9bb53,Incredible Fresh Chair,71.00,88,C
06508d8e-bb98-4578-ba84-d8e1bf8418b8,Handcrafted Bronze Tuna,469.00,32,B
a6fd8692-15c9-4c5a-90cd-18ac739d8ef6,Unbranded Steel Bacon,604.00,81,C
8d303417-efad-4e42-8e9b-997894476a88,Sleek Cotton Shirt,982.00,32,C
5e232d90-84d1-4655-8080-04264234333c,Modern Fresh Sausages,525.00,23,B
ba86ca6b-8a17-4220-a803-551268bed390,Handcrafted Plastic Computer,883.00,69,C
c00049c9-3c71-48aa-bbed-4556d82f81a6,Intelligent Metal Hat,228.00,17,A
d80f4e43-3cd2-4ca2-bb74-adb99856681e,Incredible Bronze Keyboard,739.00,104,A
